web-scraper-order,web-scraper-start-url,ReviewTitle,ReviewBody,ReviewStar,next,next-href
"1573042898-1816","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great wireless music","Product as expecred","5.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_arp_d_paging_btm_182?ie=UTF8&pageNumber=182&reviewerType=all_reviews"
"1573042596-467","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","battery life dies really quick","i really like my airpods but the battery life for me is an issue. my airpods don’t even last half the day. When i charge my airpods to 100% and i use my airpods for an hour, it’s already up to 50%. My brother bought his airpods from the apple store and when he charges it up to 100%, it’s lasts for 3 whole days without dying ( he uses it for at least 3 hours each day). Overall besides the battery life being really short, the sound quality is good.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_arp_d_paging_btm_47?ie=UTF8&pageNumber=47&reviewerType=all_reviews"
"1573042820-1471","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","The audio sound muffled (right ear)","I bought Airpods 2 on Amazon. But right ears was muffled, and the sound was not clearly.
Alike like shrill while I am make a phone calls.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_arp_d_paging_btm_147?ie=UTF8&pageNumber=147&reviewerType=all_reviews"
"1573042975-2170","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Comprarlo sin problemas","Perfect","5.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_arp_d_paging_btm_217?ie=UTF8&pageNumber=217&reviewerType=all_reviews"
"1573043073-2606","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","good！","so","5.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_arp_d_paging_btm_261?ie=UTF8&pageNumber=261&reviewerType=all_reviews"
"1573043111-2778","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Works when they work but so many glitches","These work well enough but the whole reason I bought them was not wanting to shove my phone in my waist and to walk ten steps away while listening and the range on them really stinks. I have plenty of blue tooth devices and I’m aware they aren’t meant to range a million miles away or anything but wandering into the next room & having them go out is really annoying! Also they won’t connect with my Apple Watch another reason for purchase to cut the phone out of the equation with audibles download to watch with wireless headphones feature.  I feel like they’re really glitchy too - randomly refusing to play when tapped and skipping forward when I try to tap to play. Finally the mic is iffy - I’ve had way too many people going “what what what I can’t head you” while talking with them who hear totally fine if I switch to my cars Bluetooth or my cell speaker. When they work they work and the charging case is neat but lots of issues in my opinion too.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_arp_d_paging_btm_278?ie=UTF8&pageNumber=278&reviewerType=all_reviews"
"1573042955-2078","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Series 1 NOT 2","These are the series one. They claim to be lasted model but they are NOT!","2.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_arp_d_paging_btm_208?ie=UTF8&pageNumber=208&reviewerType=all_reviews"
"1573042513-100","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Not for me.","To be honest I knew I would not like these before purchasing but I wanted to try something different (been using Beats X wireless since 2017) the wire makes them not so wireless. But anyway, so I decided to give them a try because they were on sale. Here is my issue with the AirPods and every other Apple headphone made....they hurt my ears. No seriously if I have these things in for more than 10 minutes, they hurt. Why not make something softer?","2.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1573043053-2517","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Feg","Vdcb","5.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_arp_d_paging_btm_252?ie=UTF8&pageNumber=252&reviewerType=all_reviews"
"1573042674-823","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Had them for 2 hours...","Just got these 2 hours ago. They worked for the 5 minutes I used them.  Now the right pod doesn't work....","1.0 out of 5 stars","Next page→","https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/product-reviews/B07PXGQC1Q/ref=cm_cr_arp_d_paging_btm_82?ie=UTF8&pageNumber=82&reviewerType=all_reviews"
