title,body,rating,product
Great wireless music,Product as expecred,5.0,Apple Airpods-Latest Model
battery life dies really quick,"i really like my airpods but the battery life for me is an issue. my airpods don’t even last half the day. When i charge my airpods to 100% and i use my airpods for an hour, it’s already up to 50%. My brother bought his airpods from the apple store and when he charges it up to 100%, it’s lasts for 3 whole days without dying ( he uses it for at least 3 hours each day). Overall besides the battery life being really short, the sound quality is good.",4.0,Apple Airpods-Latest Model
The audio sound muffled (right ear),"I bought Airpods 2 on Amazon. But right ears was muffled, and the sound was not clearly.
Alike like shrill while I am make a phone calls.",3.0,Apple Airpods-Latest Model
Comprarlo sin problemas,Perfect,5.0,Apple Airpods-Latest Model
good！,so,5.0,Apple Airpods-Latest Model
Works when they work but so many glitches,These work well enough but the whole reason I bought them was not wanting to shove my phone in my waist and to walk ten steps away while listening and the range on them really stinks. I have plenty of blue tooth devices and I’m aware they aren’t meant to range a million miles away or anything but wandering into the next room & having them go out is really annoying! Also they won’t connect with my Apple Watch another reason for purchase to cut the phone out of the equation with audibles download to watch with wireless headphones feature.  I feel like they’re really glitchy too - randomly refusing to play when tapped and skipping forward when I try to tap to play. Finally the mic is iffy - I’ve had way too many people going “what what what I can’t head you” while talking with them who hear totally fine if I switch to my cars Bluetooth or my cell speaker. When they work they work and the charging case is neat but lots of issues in my opinion too.,3.0,Apple Airpods-Latest Model
Series 1 NOT 2,These are the series one. They claim to be lasted model but they are NOT!,2.0,Apple Airpods-Latest Model
Not for me.,"To be honest I knew I would not like these before purchasing but I wanted to try something different (been using Beats X wireless since 2017) the wire makes them not so wireless. But anyway, so I decided to give them a try because they were on sale. Here is my issue with the AirPods and every other Apple headphone made....they hurt my ears. No seriously if I have these things in for more than 10 minutes, they hurt. Why not make something softer?",2.0,Apple Airpods-Latest Model
Feg,Vdcb,5.0,Apple Airpods-Latest Model
Had them for 2 hours...,Just got these 2 hours ago. They worked for the 5 minutes I used them.  Now the right pod doesn't work....,1.0,Apple Airpods-Latest Model
"In demand, in and out of stock so order ahead of time.","Got this pair for my Grandson, He loves them. My wife took a liking to them so I ordered a pair for her too. Prompt delivery even with them being out of stock.",5.0,Apple Airpods-Latest Model
Left pod doesn’t work,I’m disappointed I received this less than 4 hours ago and the left pod already stopped working,1.0,Apple Airpods-Latest Model
"Great pair of earbuds, very convenient","In my opinion these are bit overpriced but they might be the best pair of headphones/earbuds I've ever owned.
Bluetooth works great and it makes listening to music and taking phone calls very convenient.",5.0,Apple Airpods-Latest Model
These works great!!,These works great!!,5.0,Apple Airpods-Latest Model
There amazing,It’s Amazing I like the experience on having ones yes there a little pricey but hey Flex,5.0,Apple Airpods-Latest Model
Love them!,Easy to use and have great features like great sensitivity.,5.0,Apple Airpods-Latest Model
Lovely real product,Authentic purchase satisfied with my purchase,5.0,Apple Airpods-Latest Model
Very frustrating to connect,Why do these cost so much when they literally take upwards of 10 minutes to connect sometimes. Like they will literally not connect more than half of the time I use them. I have tried connecting and disconnecting several times before and they literally take 10-20 minutes of trying to connect. Wtf. Apple is too profitable to have such problematic features in their products,2.0,Apple Airpods-Latest Model
Surprisingly superior,"Bought as gift.  Wife had complained about most ear insert 'ear-buds'.  These hit the spot!  Best feature is they're cordless.  She forgets she's wearing them.  Worth the extra cost.  However, you don't need wireless charging model.",5.0,Apple Airpods-Latest Model
Love them!,I LOVE these!  They work well on calls and just listening to music.  The charge lasts for a long time!,5.0,Apple Airpods-Latest Model
