web-scraper-order,web-scraper-start-url,title,content,rating,next,next-href
"1573057538-16314","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Cover","Buena calidad","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_474?ie=UTF8&pageNumber=474&reviewerType=all_reviews"
"1573057194-15036","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great Customer Service","Excellent customer service. I received a faulty product which developed a crack very soon after application. I contacted them and they replaced it right away. I've had no issues so far with the replacement.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_346?ie=UTF8&pageNumber=346&reviewerType=all_reviews"
"1573057467-16048","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Five Stars","Follow the directions and watch the online video for complete instructions.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_447?ie=UTF8&pageNumber=447&reviewerType=all_reviews"
"1573057075-14565","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Good","Good","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_299?ie=UTF8&pageNumber=299&reviewerType=all_reviews"
"1573057415-15887","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Good protection.","Good protection for my tablet.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_431?ie=UTF8&pageNumber=431&reviewerType=all_reviews"
"1573056766-13404","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","A great purchase","So easy to install.  And strong protection for my iPad.  Definitely recommend.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_183?ie=UTF8&pageNumber=183&reviewerType=all_reviews"
"1573056296-11580","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Not Perfect but Packaged Well, Excellent Installation Kit, Excellent Customer Service","UPDATE:  I've added 2 stars to my original review. A few days after I posted a 3-star review complaining about an apparent quality control issue (particulate matter stuck to underside of the protector *inside* the protective sheet), I received a direct email from a company representative apologizing for the problem and offering a free replacement. I was very busy & didn't respond to the email at first, so I received a 2nd email with the same offer a couple of days later. I emailed back, verified my shipping address, and a few days later a new package was on my front porch. I waited overnight for it to warm up to room temperature, removed the defective protector from the iPad, and installed the new protector after very, VERY carefully inspecting it and using the installation kit to clean the iPad's screen. There were no adhesion problems, very few bubbles (all of which were easily cleared in a matter of moments), and only one tiny imperfection that is literally invisible without a magnifying glass and a careful search. I am very pleased with the replacement product and happily shocked at the exemplary customer service. (To repeat, the company contacted me with an apology & no-strings-attached replacement before I had the chance to contact them.) As of now, I'll definitely buy from them again as needed in the future.

One quick note: As mentioned in my original review, there are stick-on tabs to create a ""hinge"" to help position the screen protector prior to installation. This time around I did not use them and found it easier to carefully position the screen protector the old-fashioned way. If you buy this product I recommend practice fitting the protector (BEFORE removing the film covering the adhesive!) with the hinges so you can tell if it would be easier for you to place it correctly with or without them -- I'm sure the choice will vary among buyers.

ORIGINAL REVIEW: I've used tempered glass screen protectors on a variety of devices, and the reviews of this one led to high expectations. I was amazed at how well-packaged it is: a semi-rigid heavy cardboard ""book"" style folder, with a separate ""installation kit"" inside along with the screen protector itself in a protective sleeve and an internal frame keeping everything in place & protected.

Unlike my experience with several other similar (smaller) protectors of other brands, the installation kit was complete and -- hooray! -- the ""wet"" wipe was actually wet. (Be careful opening the installation kit; I accidentally tore off a small part of the instruction booklet.) The first thing I noticed was more complete/complex instructions than I'd expected, along with a note saying I should view an instructional video on YouTube. The video came up right where it was supposed to be, but I immediately noticed that it skipped over 1 step in the printed directions (use the dry wipe after the wet wipe but before the microfiber cloth), and did not show or mention the stiff card (size of a credit card) intended to help move bubbles out from under the screen protector as the final installation step.

One very helpful feature of the installation kit was ""hinge"" stickers that let you pre-position the protector and then swing it out of the way to thoroughly clean the iPad screen, then just swing it back into place for installation already in the correct position... at least in theory. I still had to be very careful positioning the protector because the stickers still allow a bit more side-to-side wiggle than is perhaps absolutely necessary. It was when the protector was in place and beginning to adhere to the iPad screen when things went a bit sour.

Before using the installation kit, I had buffed the iPad with a clean microfiber cloth until it shined. I then used the installation kit's wet wipe, making sure to cover every tiny bit of the surface, followed by careful wiping with the kit's dry wipe. I then buffed the iPad with the microfiber cloth from the installation kit, followed by the included ""dust absorber"" (a big sticker you lightly tap all over the screen to pull off any dust particles that somehow were missed in all the preceding steps). At every step, I carefully inspected the iPad for dust, fingerprints, and any other kind of marking, checking it at multiple angles in direct & indirect lighting. (I can be a little obsessive when it comes to screen protectors.) I checked the screen protector one more time at different angles, and saw a few little spots I decided were probably dirt on the protective film. I then peeled the protective film off the back of the screen protector, swung it down onto the iPad, and began pressing out a few bubbles...

...only to find 7-8 bits of kind of particulate matter causing permanent bubbles scattered across the screen (not to mention the entire upper left 1/8 of the screen protector not sticking nearly as well as the rest of it). I peeled the protector back, did some more cleaning, reapplied the protector, and had the same particles in the same spots. I then very gently used the ""dust absorber"" directly on the sticky side of the screen protector and reapplied it for a second time, and was rewarded with just a few small bubbles I was able to manipulate out.

As of now, the upper left 1/8 of the screen protector seems to be sitting on the iPad screen and not actually adhering to it (that's 1 star off), and I'm a bit annoyed at how I had to clean particulate matter off the supposedly clean & protected *sticky* side of the screen protector (that's the 2nd star off). For the moment it seems to be staying in place & remaining clean, but I'll have to think twice about another of the same brand in the future.","5.0 out of 5 stars","",""
"1573056899-13896","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","The only one for me","Great product and the video is a MUST.  For the first time applying protectors to Apple products, this one made it easy and perfect.  Remember to turn off the AC or any other source of ventilation to avoid lint flying around.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_232?ie=UTF8&pageNumber=232&reviewerType=all_reviews"
"1573056299-11593","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Not as advertised","Was impressed by all the positive reviews so I purchased this for my new iPad. The first one arrived with a smudge that wouldn’t go away. I decided it was a fluke, so I returned it and ordered another one. After following the directions completely, I had two air bubbles that would not go away. Thinking this was a temporary issue and would eventually go away, I left it for a few days. I removed and replaced once again and I now have 8 air bubbles that refuse to go away! In the years I have been installing screen protection on various products I have never encountered such a problem. I would return this one, but so sure was I that this one would work, I threw everything away. Very dissatisfied with product!","1.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1573057346-15610","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Five Stars","Great screen protector.  Would buy again.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_404?ie=UTF8&pageNumber=404&reviewerType=all_reviews"
"1573057169-14931","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Llego a tiempo","Buena calidad","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_336?ie=UTF8&pageNumber=336&reviewerType=all_reviews"
"1573057264-15317","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Looks like it could work","Looks like it could work.  Arrived with dust between the protective film and adhesive and installed with several bubbles that will not go away.  tried removing and reapplying and just fell off.  Returned for refund as exchange was not an option.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_374?ie=UTF8&pageNumber=374&reviewerType=all_reviews"
