web-scraper-order,web-scraper-start-url,ReviewTitle,ReviewBody,ReviewRating,next,next-href
"1573044288-6055","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Stay in well","They kinda hurt after a couple of hours  but okert then that the great.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_264?ie=UTF8&pageNumber=264&reviewerType=all_reviews"
"1573043958-4569","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Terrible sound quality","It was good at first but the sound quality went down for some reason and would cut out a lot, and I only used it for two months. These are not worth the price I wouldn't recommend these","1.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_116?ie=UTF8&pageNumber=116&reviewerType=all_reviews"
"1573043911-4368","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sweet buds","Excellent sound for buds and crystal clear voice for phone calls! Definitely recommended","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_95?ie=UTF8&pageNumber=95&reviewerType=all_reviews"
"1573044311-6143","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Very bad bluetooth and poor volume","I got mine for free with the S10 and figured I would write this review to warn others. The volume is very soft. I have mine on max all the time and if a soft video or song comes on I can't hear it. The worst thing that makes it unusable is the Bluetooth. They lose contact if any part of my body comes between my phone and it. I was mowing the lawn and realized that every time my leg passed under my arm the music cut out which is really annoying. Also if you eat with these in, they fall out immediately. Sad because they could have had a really good product but failed at some of the most basic things you need. I pretty much use these to workout now. For 100+ dollars I would be really angry if I bought these.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_273?ie=UTF8&pageNumber=273&reviewerType=all_reviews"
"1573043793-3875","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Please get it right Samsung!","Maybe I am doing it wrong but I bought these headphones to work with my Galaxy phone but I find that I have to put it up to the highest volumes to hear out of them especially when I am walking the streets of NYC or riding the subway.  I also find that the microphone quality is very poor and I can't use them to speak on the phone.  After watching all these Apple folks walk around chatting wirelessly, I find this very annoying.  For the price I would not buy again - get it right Samsung please!","3.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_46?ie=UTF8&pageNumber=46&reviewerType=all_reviews"
"1573044117-5288","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Glitchy sometimes","Very impressed. Wear these all the time","4.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_187?ie=UTF8&pageNumber=187&reviewerType=all_reviews"
"1573043770-3778","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Volume issues","Very disappointed in these buds. The left earbud is about 90% quieter than the right one. No amount of troubleshooting, researching or updating was able to fix it. It appears many other people have this issue. Stay away!","1.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&pageNumber=36&reviewerType=all_reviews"
"1573044075-5096","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Very convenient","Good noise cancelling for a earbud. Earbuds have their own volume control. Touch features are handy","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_168?ie=UTF8&pageNumber=168&reviewerType=all_reviews"
"1573043955-4563","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Stays in place","I like them they stay in my ear while jogging","4.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_115?ie=UTF8&pageNumber=115&reviewerType=all_reviews"
"1573043694-3473","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","These are fantastic!","I've been wanting wireless ear buds/headphones for years now. I just didn't trust the tech yet, or everything was way over priced. These are a decent price and are fantastic. They are not huge buds that stick out of your head making you look...special; and they are not like those small white ones that drip down and can only be held in place by ear wax. These have small rubber rims that hold them in place very well.

The sound quality is better than I was expecting. They are wireless, so you'll never get the quality of the regular overhead headphones, but they are as good as, or better than many wired earbuds I've used.

They connect to multiple devices without issue, which makes me so unbelievably happy! I can use these with my cell phone as well as my music device and it only takes seconds to switch back and forth.

I was a little put off by how easy it is to activate the touch controls - every time I stuck them in my ears or took them out, I turned on or off whatever I wanted to/had been listening to. But I have actually gotten used to this and now know how to put in and take them out without activating anything.

I've done a few calls with these as well and they are great. No issues with sound (from either end) or connection. They work better than anything else I've used in the past.

The wireless charger and charging are fantastic. I've never had them run out of battery, even though I use them most of the day at work to keep out office sounds. I don't know how many hours I use them, but maybe between 3 and 4? I've yet to run out of battery with regular daily use.

If you've been on the sidelines, unsure about buying wireless earbuds because of price or quality, these are (so far) a great product to get you started. I'm very pleased with them.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Bluetooth-Wireless-charging-included/product-reviews/B07MWCNR3W/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
