title,body,rating,product
"Sounds great, but low battery life","They really do sound good, but the battery life of the charger is low. I travel a lot of work, and I use them at the gym so this is somewhat problematic. I have to remember to charge them when I get home even after moderate use or they are dead when I go to the gym.",3.0,Tozo10 Bluetooth Wireless Earbuds
Comfortable & great sounding earbuds,"Really like my new earbuds.  They are comfortable and fit well with the ability to swap out the rubber ear piece to get the best fit.  My music sounds great with a nice balance of low, mids and highs.  So far, talking on the phone has been clear.  The callers on the other end can hear me good and clear too.  The charging case is a nice feature as well.",5.0,Tozo10 Bluetooth Wireless Earbuds
These are the best earbuds for music!!!,I am soooo pleased with these earbuds!  I’ve tried others and had to return them.  Pairing of others was a challenging task.  These paired effortlessly!  The sound quality was so pleasantly surprising.  I followed the instructions to find the best fitting cushion.  The fit is perfect.  I’m hoping battery life won’t be a problem.,5.0,Tozo10 Bluetooth Wireless Earbuds
Great Sound Quality and Waterproof In Steam Room,"Love these earbuds, needed them to use in a steam room and they work fabulously.  Sound quality is great, bass is amazing.  Only issue I had is that it disconnected from my far below the the 32 feet, or 10 Meters, it claimed.  Also, if I wore only 1, earbud, the music would skip/or fade in and out.  I did buy them for the steam room and they work wonderfully.",5.0,Tozo10 Bluetooth Wireless Earbuds
"Excellent Quality, Sound, and battery life","These earbuds are excellent! They have some of the best sound quality I've heard in addition to a great battery life. they are also very user-friendly and I have had no issues with their connectivity to each other or my phone. My one minor complaint would be that they do not automatically pair to my phone when they turn on. However I am willing to bear with this minor annoyance for the price. Overall, I would say these are some of the best wireless earbuds you can get for $50 and would highly recommend them to anyone interested in true wireless earbuds.",4.0,Tozo10 Bluetooth Wireless Earbuds
Can't skip track or change volume. Range not great.,"Overall I like them. It's nice not to have to worry about getting them wet. When I have my phone in my cycling jersey pocket though I lose connection to the headphones occasionally which is pretty annoying. Some say you get a 30ft range, but inside a pocket with only my shoulders in the way it cuts out if I turn my head. I also wish I could do to the next track since I use them on a bike.",4.0,Tozo10 Bluetooth Wireless Earbuds
Decent but not for me.,"I truly wanted these to be the answer to my personal office music situation. First the good... These are very reasonably priced. The sound produced is better than expected for the price paid. The concept of a case that recharges it's earbuds multiple times without having to re-plug these into a recharging USB port is great. The recharging time is very fast when compared to the amount of time that you receive playing music. Now the bad... I had hoped to be able to plug the case into a wall outlet rather than a USB port for charging purposes. Not a deal breaker but it would have been nice. Next, the instructions that I received do not list all options; for example, how to turn off the earbuds. Not a deal breaker as I eventually figured this out on my own. Finally... these are extremely uncomfortable regardless which set of earcaps I used (S, M, L or XL). I had to use the small sized earcaps as none of the other sizes would stay in my ears. With the small earcaps, I was able to get them to stay as long as I sat at my desk and didn't make any sudden movements, but after about an hour, these earbuds became very uncomfortable. I need something that I can wear for 8 hours without discomfort. This was my deal breaker.",3.0,Tozo10 Bluetooth Wireless Earbuds
"Company ""bribes"" for stars","Just an FYI, I returned these because the sound quality wasn't great and I had connectivity issues with it. However, it is worth noting that shortly after ordering, I started receiving emails asking me to review the product and I would receive a free charging disc at no cost to me.

I responded that I hadn't had the product long enough to warrant a true review and asked it a review was necessary to receive the product... no reply was given.

Just saying beware about the high number of stars, I don't think it's a legit reflection of opinions.",2.0,Tozo10 Bluetooth Wireless Earbuds
Almost perfect,"The product is great! The only thing that i can complain about is how it is hold in my ears. It is really not stable, and i have a felling all the time that it falls off... The rest is great. Maybe, there is some additional apliance to solve this problem.",4.0,Tozo10 Bluetooth Wireless Earbuds
Great value!,A very good value for the money. The wireless charging is a great update and it still has the micro usb charging port as well for travel. Sound quality is much better than expected. Good bass and noise reduction  is better than expected.,5.0,Tozo10 Bluetooth Wireless Earbuds
Good product. Very good customer service,These earbuds have great sound and noise cancellation. The fit is very good and stay in my eats even during a workout. One earbud had a problem and the customer service was great and got me a replacement right away. Definitely recommend this product,5.0,Tozo10 Bluetooth Wireless Earbuds
"I wanted to like these, but...","I really wanted to like these ear buds. Construction looks decent. Reviews were fairly positive and I don't like cords. I would however, not recommend these earbuds. While the sound is good in ideal conditions, they are marginal the rest of the time.

Fit--the rubber tips that came with the Tozo T10 are very uncomfortable. I had to use tips from another set of earbuds. And having tried 7 or 8 different set, I have to keep re-adjusting the earbuds.

Connectivity--they pair fairly easily, but the signal is weak. Because the right earbud is the master, I can not put my phone in my left pocket or they will not get a signal. They might be better than Bluetooth 4.2, but not by much. Sound fades out of the left side if I'm walking. And the sound is not consistent between the two side. Sitting at a desk or table with work fine.

Battery life--surprised how small the battery in the case is.",3.0,Tozo10 Bluetooth Wireless Earbuds
