web-scraper-order,web-scraper-start-url,title,body,rating,next,next-href
"1573062954-17396","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I think the sound quality is good when you get the earbuds to stay in your ...","I think the sound quality is good  when you get the earbuds to stay in your ear firmly and sealed in your ear.  You don't want any air gaps that's where you  loose sound quality.","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_82?ie=UTF8&pageNumber=82&reviewerType=all_reviews"
"1573062944-17363","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I was expecting more","I feel like $50 is a reasonable amount to spend on a pair of headphones. These didn't seem any higher quality than any $20-$30 pair I have purchased in the past. The sound quality is average. It was actually very difficult to get them to stay in my ears, even with the extra attachments on as they sit a little to far away from the ear insert. And they stick really far out of your ears.  I returned them.","2.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_79?ie=UTF8&pageNumber=79&reviewerType=all_reviews"
"1573062949-17390","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Ive had these headphones for a little over a month ...","I had a problem with these headphones and I talked to the support who was very kind and got me my replacement in 4 business days I have had no problems sense.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_81?ie=UTF8&pageNumber=81&reviewerType=all_reviews"
"1573062814-16852","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Great Customer Support","Really liked this product for the first few months and then they just stopped working mid-run one day. They were completely charged prior to the run and within an hour they just stopped working and will not charge now and are completely dead.  I contacted the company and they responded with great customer service. I would definitely do business with this company again.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&pageNumber=28&reviewerType=all_reviews"
"1573062932-17328","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Five Stars","amazing pair of earbuds very very high quality for the price","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_75?ie=UTF8&pageNumber=75&reviewerType=all_reviews"
"1573063068-17795","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Stopped working, very disappointing","Got these bluetooth earbuds at Christmas, and they worked great for the first 2 months, then suddenly, they wouldn't stay connected and dropped bluetooth connection, and turned off. Tried double checking the charge was full, and once again, they dropped off and turned off. I have 2 pairs of these, and the first pair did it, I thought it was defective, but then a week later, the second pair did the exact same thing. Very disappointing. Compared to a different pair, SoundPEATS Bluetooth Headphones In Ear Wireless Earbuds 4.1 Magnetic Sweatproof Stereo Bluetooth Earphones for Sports With Mic (Upgraded 7 Hours Play Time, Secure Fit, Noise Cancelling) - Red, and these are still working great without issue, again, bought at Christmas and no problems so far. There is no indicator to report battery life. Description says it has a 9 hour battery life, but never got more than 4-5 hours of listening to music or talking on calls.","1.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_122?ie=UTF8&pageNumber=122&reviewerType=all_reviews"
"1573062970-17451","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","I highly recommend","Perfect sound. I bought these for my wife and he loves them. In the past she had issues because her previous headphones kept falling off her ears. Not these. They sit comfortably inside her ear and my wife is delighted by the quality of the sound. She is even working out more than she used to as a result.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_88?ie=UTF8&pageNumber=88&reviewerType=all_reviews"
"1573062909-17239","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Way better than you thought","This product is simply amazing premium quality headphones for a budget price.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_66?ie=UTF8&pageNumber=66&reviewerType=all_reviews"
"1573062989-17534","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","AMAZING!!! But broken within a month!!","I love then they were almost entirely sound proof. Though I’ve had them for about a month and I take them everywhere, there is a short in one of the wires so only one of the earbuds works.","4.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_96?ie=UTF8&pageNumber=96&reviewerType=all_reviews"
"1573062912-17250","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","My friend bought these bluetooth earbuds and recommended for me and I'm really happy with them","My friend bought these bluetooth earbuds and recommended for me and I'm really happy with them. Good value for this price.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews"
"1573062907-17228","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Worked great, when they worked!!!","Worked great when tbey worked, now its about 3 months in and they are going out. The left ear speaker is completly out.","2.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&pageNumber=65&reviewerType=all_reviews"
"1573062982-17501","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","This our the best wireless headphones that I've used","This our the best wireless headphones that I've used. I'm an avid runner and couldn't seem to find headphones to fit correctly and these do the trick!","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_93?ie=UTF8&pageNumber=93&reviewerType=all_reviews"
"1573063110-17944","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Best bluetooth for me.","Best I have used. The cord is just the right length to drape behind my neck. The variety of earbuds include three sizes of my favorite foam tips. The sound quality is great. They are so comfortable that I keep forgetting to pull them out when I am not using them. I wear a lanyard for an e-cig, and I used the included flat clip to attach the cord to my lanyard in the back. The earpiece is right there whenever I need it. Pop it in the right ear and take the call. Callers are able to hear me clearly, and I am able to hear them. I could not ask for more.","5.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_137?ie=UTF8&pageNumber=137&reviewerType=all_reviews"
"1573062739-16600","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Calling them ""noise cancelling"" is deceptive.  // UPDATED review to 3 stars from 2.","For the money, these aren't terrible wireless earbuds, however they aren't actually noice-cancelling as the description suggests. They are noise-isolating, meaning the earbuds block out a portion of your ambient noise. Noice-cancelling would mean they capture ambient noise and play the negative, or inverse sound waves to cancel out the outside noise. They do come with several sizes of the eartips, plus three sizes of the expandable-foam eartips which are the best for isolating outside noise. All that said, the sound quality is just ok, the sound is a little muddied compared to other headphones & earbuds I've used.

UPDATE: The company itself gets 5-stars for their efforts. After finding out I had returned them, they offered to send me their XR700 model free of charge for me to evaluate. The TREBLAB customer service team is pretty outstanding, so I upgraded my review of these earbuds from 2 to 3 stars.","3.0 out of 5 stars","Next page→","https://www.amazon.com/TREBLAB-Waterproof-Microphone-Cancelling-Headphones/product-reviews/B06ZXR7646/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
