word,count
five,905
stars,1730
good,16944
headphone,943
than,3473
iphone,817
headphones,4107
at,5791
lower,155
price,5278
and,41419
compatible,121
with,15169
all,4516
mobiles,15
having,851
,41798
years,526
warranty,786
duplicate,42
product,11885
selling,67
amazon,1218
first,2247
copy,38
dont,3813
buy,3401
itthere,2
is,29585
no,4820
bass,4844
in,16242
earphoneand,4
battery,5084
life,3195
also,3341
suck,51
awesome,2906
durability,323
i,44080
like,4648
this,13219
customer,1460
service,1613
used,2176
these,11567
buds,4073
for,22683
several,545
months,1503
sound,16348
excellent,2326
particularly,53
the,68861
which,2377
was,10005
what,2024
looking,1023
give,833
performancehowever,1
did,1596
have,11157
an,2830
issue,1390
could,1561
not,14825
get,3356
to,35212
charge,2114
stewed,1
over,1304
do,2659
some,2045
timebut,2
finally,355
figure,91
how,1736
reach,66
out,7121
sent,465
my,16772
message,26
sunday,13
night,151
monday,12
morning,102
had,4564
a,27714
most,1000
generous,7
convenient,418
offer,162
send,290
me,4755
new,1542
wireless,3343
charger,565
foc,1
about,3081
that,11151
so,8236
outstanding,184
post,61
sales,33
support,446
best,4209
earphonelove,1
sennheiser,676
sincei,1
tried,1281
sonysamsung,1
jblbut,4
bestjbl,1
stand,124
anywhere,82
range,1467
of,18788
its,6141
audio,1001
qualityin,3
one,6827
wordbest,1
earphone,1450
earphones,2469
bought,2195
month,841
ago,282
let,328
aay,1
are,10448
ever,1059
every,1205
expects,4
think,926
buying,692
any,2117
other,3299
products,605
close,233
your,3651
eyes,51
just,5116
it,22488
worth,2296
penny,153
very,9800
quiet,133
sounddisappointed,1
dollars,71
ear,6335
should,781
blow,38
away,811
zero,140
negatives,21
however,925
idk,20
if,5363
pair,3056
defective,336
or,4630
but,13618
extremely,531
low,1037
akg,49
wired,504
came,936
easily,945
twice,187
as,7833
loud,774
normal,278
bluetooth,3052
were,2238
barely,186
usable,32
on,11423
airplane,30
unusable,58
while,2720
mowing,82
due,406
volume,1654
even,2881
when,5238
turned,207
way,1142
up,2907
set,1300
hear,1552
moweri,1
will,3574
say,1168
quality,14279
great,12754
wish,467
more,2698
excelente,71
producto,49
sonido,40
muy,99
ntido,1
nice,3377
got,2359
deal,578
really,3741
impressive,226
off,1626
shipped,65
quickly,517
well,3759
packaged,165
opened,166
them,10417
immediately,301
paired,441
process,253
straightforward,22
simple,414
worked,828
gym,800
wow,224
amazing,2376
deep,283
rich,115
crank,28
older,68
needed,470
too,2362
much,2368
decent,903
response,221
they,13317
safer,9
volumes,50
would,3995
definitely,1133
recommend,2064
anyone,437
fair,102
perfect,1936
fit,3320
ipad,2672
been,2056
using,2445
earbuds,6802
since,967
june,24
without,1422
issues,1218
alternate,14
apple,1421
depending,55
am,2668
doing,390
stay,1258
ears,2734
although,329
has,2407
run,490
outside,507
sweaty,48
problems,538
staying,86
putthe,1
clean,425
crisp,255
rubber,276
covers,169
block,160
significantly,45
ambient,348
noise,3024
apples,63
often,261
wear,769
day,1332
after,3860
many,825
hours,1438
may,593
become,94
little,1824
sore,28
from,4228
pressure,59
thats,640
lot,923
hoursthe,4
charging,2508
case,3973
handy,151
plug,205
blue,186
lights,108
show,124
statues,1
cases,75
red,76
light,522
chargingi,11
pairing,681
connection,1106
made,809
device,1043
funky,5
only,3843
r,153
earbud,1434
connects,152
bud,1014
l,105
episodes,1
far,1737
connected,623
then,1905
slightly,237
sync,182
believe,269
remedied,9
by,1913
either,392
turning,107
again,1287
checking,30
under,584
bt,246
menu,18
iphonei,2
mini,15
considering,194
option,354
such,507
experience,791
ended,208
another,1019
white,124
present,66
family,117
member,13
negative,139
pointalways,1
indicator,74
lightsometimes,1
irritates,13
nighttime,1
replacemnet,1
d,77
lover,174
replacing,63
sounds,907
era,6
combination,31
calling,233
music,3062
happy,1477
providing,36
go,2152
shortnot,1
steps,95
mobile,201
four,357
pretty,1463
impressed,618
ive,2364
owned,288
jaybird,32
those,515
always,767
pain,238
keep,894
track,103
tozo,1063
sleek,121
comfortable,1642
their,1145
grips,8
extended,86
feel,1073
irritation,15
recommended,411
screen,4685
protector,3117
few,1341
weeks,504
dropped,317
edge,177
carrying,126
suffered,6
damage,182
sufford,1
cracks,97
because,2246
landed,8
contacted,312
sparin,373
gladly,24
replaced,319
pay,265
shipping,146
didnt,1399
merchandise,3
comebine,1
free,662
better,3209
enough,936
according,80
material,321
goodthis,3
company,636
provide,235
yr,35
warrenty,18
accelerate,1
