word,count
great,12754
wireless,3343
music,3062
product,11885
as,7833
expecred,1
battery,5084
life,3195
dies,55
really,3741
quick,353
i,44080
like,4648
my,16772
airpods,1647
but,13618
the,68861
for,22683
me,4755
is,29585
an,2830
issue,1390
dont,3813
even,2881
last,1298
half,328
day,1332
when,5238
charge,2114
to,35212
,41798
and,41419
use,5169
hour,408
its,6141
already,439
up,2907
brother,43
bought,2195
his,213
from,4228
apple,1421
store,189
he,512
charges,330
it,22488
lasts,341
whole,268
days,1181
without,1422
dying,28
uses,127
at,5791
least,329
hours,1438
each,512
overall,1368
besides,52
being,795
short,307
sound,16348
quality,14279
good,16944
audio,1001
muffled,81
right,2539
ear,6335
on,11423
amazon,1218
ears,2734
was,10005
not,14825
clearlyalike,1
shrill,10
while,2720
am,2668
make,1108
a,27714
phone,3926
calls,1216
comprarlo,3
sin,10
problemas,2
perfect,1936
so,8236
works,1755
they,13317
work,3328
many,825
glitches,21
these,11567
well,3759
enough,936
reason,388
them,10417
wanting,51
shove,10
in,16242
waist,14
walk,236
ten,23
steps,95
away,811
listening,1062
range,1467
stinks,7
have,11157
plenty,128
of,18788
blue,186
tooth,91
devices,535
im,2980
aware,71
arent,234
meant,48
million,8
miles,46
or,4630
anything,593
wandering,2
into,848
next,422
room,220
having,851
go,2152
out,7121
annoying,387
also,3341
wont,772
connect,1000
with,15169
watch,360
another,1019
purchase,1439
cut,467
equation,1
audibles,1
download,30
headphones,4107
feature,588
feel,1073
theyre,758
glitchy,18
too,2362
randomly,82
refusing,3
play,377
tapped,7
skipping,51
forward,147
try,906
tap,186
finally,355
mic,994
iffy,13
ive,2364
had,4564
way,1142
people,814
going,817
what,2024
cant,1679
head,563
you,9906
talking,369
who,584
hear,1552
totally,383
fine,983
if,5363
switch,215
cars,27
bluetooth,3052
cell,87
speaker,254
charging,2508
case,3973
neat,43
lots,134
issues,1218
opinion,136
series,56
are,10448
one,6827
claim,109
be,5260
lasted,243
model,362
honest,100
knew,90
would,3995
before,1239
purchasing,213
wanted,606
something,738
different,1207
been,2056
using,2445
beats,284
x,81
since,967
wire,769
makes,575
anyway,91
decided,391
give,833
because,2246
were,2238
sale,161
here,367
every,1205
other,3299
headphone,943
madethey,1
hurt,185
no,4820
seriously,106
things,667
more,2698
than,3473
minutes,502
why,422
softer,12
feg,1
vdcb,1
just,5116
got,2359
ago,282
worked,828
used,2176
now,2020
pod,121
doesnt,1268
demand,3
stock,46
order,351
ahead,64
time,3277
this,13219
pair,3056
grandson,35
loves,298
wife,265
took,548
liking,39
ordered,478
her,203
prompt,43
delivery,359
left,2018
disappointed,847
received,838
less,760
stopped,1057
working,3054
earbuds,6802
very,9800
convenient,418
bit,1216
overpriced,62
might,390
best,4209
headphonesearbuds,13
ever,1059
ownedbluetooth,1
taking,243
there,2468
amazing,2376
experience,791
ones,680
yes,188
little,1824
pricey,43
hey,61
flex,19
love,3281
easy,3816
features,427
sensitivity,63
lovely,37
real,333
authentic,29
satisfied,784
frustrating,118
do,2659
cost,452
much,2368
literally,170
take,974
upwards,6
sometimes,624
will,3574
tried,1281
connecting,259
disconnecting,112
several,545
times,891
trying,506
wtf,10
profitable,1
such,507
problematic,14
their,1145
products,605
surprisingly,120
superior,116
gift,317
complained,29
about,3081
most,1000
insert,48
hit,103
spot,90
cordless,26
she,317
forgets,3
shes,26
wearing,329
worth,2296
extra,425
however,925
need,1310
long,1613
loving,126
teens,11
m,124
hookedi,1
international,15
local,48
us,148
conf,2
all,4516
forget,169
after,3860
get,3356
annoyedsore,1
small,1060
version,210
cushionive,1
through,708
list,58
exercise,114
business,78
definitely,1133
date,87
price,5278
friend,129
birthday,100
loved,486
reliable,115
didnt,1399
always,767
few,1341
months,1503
words,67
learn,28
cool,279
itemapple,1
over,1304
world,122
though,835
package,357
shape,94
some,2045
specks,28
expecting,169
see,752
clean,425
white,124
surface,101
wrapped,21
plastic,272
adhesive,106
scrape,3
fingernailwhen,1
opened,166
dark,17
residue,19
cap,26
where,556
pods,416
sat,26
earpieces,125
crusty,1
earwax,15
spent,160
sanitize,3
wipes,94
cleaning,192
thingthe,2
wish,467
persons,17
absolutely,456
fantastic,553
how,1736
portable,106
special,51
giftsuperior,1
design,553
ease,201
couldnt,431
